idteam,team,Population,literacy,birthrate,deathrate
1,Afghanistan ,31056997,"36,0","46,6","20,34"
2,Albania ,3581655,"86,5","15,11","5,22"
3,Algeria ,32930091,"70,0","17,14","4,61"
4,American Samoa ,57794,"97,0","22,46","3,27"
5,Andorra ,71201,"100,0","8,71","6,25"
6,Angola ,12127071,"42,0","45,11","24,2"
7,Anguilla ,13477,"95,0","14,17","5,34"
8,Antigua & Barbuda ,69108,"89,0","16,93","5,37"
9,Argentina ,39921833,"97,1","16,73","7,55"
10,Armenia ,2976372,"98,6","12,07","8,23"
11,Aruba ,71891,"97,0","11,03","6,68"
12,Australia ,20264082,"100,0","12,14","7,51"
13,Austria ,8192880,"98,0","8,74","9,76"
14,Azerbaijan ,7961619,"97,0","20,74","9,75"
15,"Bahamas, The ",303770,"95,6","17,57","9,05"
16,Bahrain ,698585,"89,1","17,8","4,14"
17,Bangladesh ,147365352,"43,1","29,8","8,27"
18,Barbados ,279912,"97,4","12,71","8,67"
19,Belarus ,10293011,"99,6","11,16","14,02"
20,Belgium ,10379067,"98,0","10,38","10,27"
21,Belize ,287730,"94,1","28,84","5,72"
22,Benin ,7862944,"40,9","38,85","12,22"
23,Bermuda ,65773,"98,0","11,4","7,74"
24,Bhutan ,2279723,"42,2","33,65","12,7"
25,Bolivia ,8989046,"87,2","23,3","7,53"
26,Bosnia & Herzegovina ,4498976,,"8,77","8,27"
27,Botswana ,1639833,"79,8","23,08","29,5"
28,Brazil ,188078227,"86,4","16,56","6,17"
29,British Virgin Is. ,23098,"97,8","14,89","4,42"
30,Brunei ,379444,"93,9","18,79","3,45"
31,Bulgaria ,7385367,"98,6","9,65","14,27"
32,Burkina Faso ,13902972,"26,6","45,62","15,6"
33,Burma ,47382633,"85,3","17,91","9,83"
34,Burundi ,8090068,"51,6","42,22","13,46"
35,Cambodia ,13881427,"69,4","26,9","9,06"
36,Cameroon ,17340702,"79,0","33,89","13,47"
37,Canada ,33098932,"97,0","10,78","7,8"
38,Cape Verde ,420979,"76,6","24,87","6,55"
39,Cayman Islands ,45436,"98,0","12,74","4,89"
40,Central African Rep. ,4303356,"51,0","33,91","18,65"
41,Chad ,9944201,"47,5","45,73","16,38"
42,Chile ,16134219,"96,2","15,23","5,81"
43,China ,1313973713,"90,9","13,25","6,97"
44,Colombia ,43593035,"92,5","20,48","5,58"
45,Comoros ,690948,"56,5","36,93","8,2"
