home_team, away_team, home_team_fifa_rank, away_team_fifa_rank, neutral_location
28,136,8,14,0
216,28,22,8,0
161,44,67,19,0
196,70,4,12,0
9,161,5,67,0
162,161,70,67,0
31,196,37,4,0
60,25,35,59,0
206,77,31,1,0
136,164,16,22,1
53,101,74,71,0
3,153,30,18,0
180,104,44,43,1
98,180,64,46,1
101,13,66,34,0
98,104,64,44,1
12,9,61,9,0
13,196,34,8,0
184,87,84,62,0
129,133,75,144,1
181,88,63,132,1
136,77,17,3,0
78,61,37,26,0
78,206,37,32,0
18,82,114,143,0
129,32,70,127,0
202,153,69,18,0
49,155,42,4,1
136,31,16,31,1
191,165,5,20,0
206,147,32,7,0
167,69,54,45,0
181,129,56,70,0
156,69,97,45,0
61,142,26,30,1
213,142,51,30,0
180,44,38,21,0
130,206,83,32,0
191,164,5,28,0
187,206,134,32,1
44,196,20,10,1
129,78,61,35,0
142,69,28,41,0
227,226,46,30,0
73,181,62,60,0
136,44,17,20,0
153,78,15,35,0
61,36,25,26,0
13,93,35,52,0
80,164,34,24,0
226,184,22,73,1
153,61,18,25,1
194,90,109,147,1
156,31,83,23,0
121,101,87,52,0
155,165,3,22,0
112,31,62,25,0
25,36,47,27,1
80,25,37,47,0
42,9,40,6,0
93,51,49,102,0
104,12,54,44,0
37,142,58,30,0
169,187,10,87,0
31,212,29,93,0
51,9,102,6,0
37,28,58,1,0
25,162,43,69,0
25,197,43,8,1
169,196,10,3,1
36,196,24,10,1
77,191,1,5,1
28,196,3,10,1
102,136,4,16,1
76,130,126,72,0
186,130,43,69,0
70,54,16,44,0
164,19,32,142,0
32,152,100,76,0
212,213,79,59,1
66,3,114,48,0
193,61,132,26,0
118,203,136,122,0
93,207,55,57,0
186,70,43,16,0
187,102,75,2,0
156,193,80,125,1
60,162,53,65,0
12,112,52,78,1
104,12,41,52,0
10,53,142,72,0
70,169,20,7,0
93,77,54,4,0
101,186,48,42,0
130,54,66,35,0
155,147,8,5,0
212,187,79,69,0
3,193,50,125,0
133,88,141,119,0
115,65,72,119,0
213,180,54,27,0
156,16,65,84,1
142,36,33,29,0
133,118,137,128,0
211,3,101,58,0
213,16,54,84,0
129,6,49,116,0
156,112,65,47,1
226,190,20,69,0
16,167,84,60,1
147,54,5,32,0
164,70,36,19,0
190,36,64,28,0
101,169,50,11,0
36,203,28,88,0
129,133,52,137,0
118,87,127,66,0
129,133,52,137,0
181,206,50,30,0
36,126,31,82,0
203,133,86,137,0
153,9,12,10,1
191,216,2,37,0
211,61,93,22,0
118,181,127,50,0
37,165,63,20,0
206,118,30,127,0
207,169,48,11,0
191,77,2,5,0
53,196,70,4,0
80,197,26,11,0
95,98,116,96,0
103,52,84,175,0
116,61,132,28,0
28,91,1,53,0
53,55,70,15,0
93,197,63,11,0
101,70,40,18,0
121,51,61,64,0
191,20,2,23,0
192,95,143,116,0
25,219,48,121,0
142,32,35,101,0
203,118,80,115,0
42,94,43,42,0
66,211,97,66,0
227,126,40,71,0
19,130,120,88,0
186,54,38,30,0
190,9,62,8,0
25,161,55,101,0
142,61,34,23,0
196,94,6,42,0
3,211,55,71,0
27,144,148,115,0
87,143,54,77,0
196,104,6,35,1
136,44,7,23,1
42,207,42,25,0
216,150,36,108,0
44,162,23,73,1
198,61,119,20,0
216,136,36,7,0
42,25,42,62,1
61,3,20,57,0
155,70,4,17,0
121,19,49,107,0
133,206,104,21,0
144,143,114,75,0
96,185,148,115,0
70,164,18,32,0
155,54,2,30,0
103,226,95,24,0
2,31,97,12,0
164,169,28,14,0
196,197,15,11,0
69,207,47,39,0
51,102,73,2,0
9,44,9,15,0
13,165,40,24,0
55,191,13,6,0
94,207,37,39,0
122,19,120,130,0
32,206,100,25,0
25,60,50,61,0
150,12,101,55,0
14,164,146,27,1
53,20,75,29,0
196,207,13,28,0
61,227,23,61,1
181,184,53,68,1
190,226,59,34,0
226,227,34,61,1
103,155,51,6,0
201,66,74,108,1
136,44,13,17,1
211,108,72,97,0
190,77,59,2,0
112,107,84,163,0
180,78,54,29,0
227,78,59,29,0
103,52,56,96,0
226,3,25,48,1
206,143,22,76,1
6,36,82,32,1
25,42,56,39,0
130,187,89,70,0
14,65,141,131,1
167,60,84,57,0
65,67,135,125,1
12,196,52,12,0
127,96,112,133,0
208,112,136,86,0
122,197,99,21,0
213,61,81,22,0
164,187,37,61,0
138,212,113,72,0
20,170,38,3,0
155,191,17,6,0
186,31,39,24,0
90,58,155,136,0
164,19,40,87,0
62,25,71,36,1
32,152,108,102,0
126,226,112,15,0
133,181,88,64,0
187,213,58,65,0
226,201,15,77,0
134,125,158,143,0
211,108,86,104,0
19,14,88,130,0
52,90,80,142,1
65,207,115,30,0
102,20,7,40,0
133,32,91,110,0
162,44,77,9,0
219,42,119,29,0
201,78,78,17,0
55,165,11,18,1
191,31,6,28,1
201,193,78,94,0
70,191,5,6,1
181,203,58,109,0
143,144,76,126,0
227,125,69,143,0
102,77,7,2,1
