home_team, away_team, home_team_fifa_rank, away_team_fifa_rank, neutral_location
161,9,67,5,0
162,44,70,19,0
67,155,111,9,0
196,197,4,3,0
9,44,5,19,0
60,216,35,22,0
65,165,118,23,0
2,55,92,10,0
67,169,111,21,0
69,70,47,12,0
93,170,42,7,0
2,191,92,13,0
65,102,118,2,0
178,147,119,16,1
180,49,44,38,0
122,80,110,35,0
70,101,7,71,0
164,155,22,3,0
34,87,98,63,1
120,65,157,119,0
213,106,55,89,0
73,130,54,84,1
101,69,66,45,0
70,31,14,32,0
164,147,23,6,0
181,129,63,75,1
184,78,84,41,0
136,28,17,4,0
133,129,144,70,0
18,166,114,105,0
136,197,16,12,1
219,44,93,21,0
87,152,63,81,1
156,69,97,45,0
136,170,16,14,1
213,186,51,150,0
213,61,51,26,0
126,226,67,27,0
130,187,83,134,0
126,226,67,27,0
102,70,7,14,0
25,44,55,20,1
93,197,49,8,0
58,90,152,145,0
122,142,116,29,0
191,51,6,125,0
180,42,36,55,0
206,129,32,57,0
130,186,78,60,0
61,129,25,57,1
93,187,52,123,0
39,90,140,147,1
44,25,20,56,0
94,180,43,34,1
207,170,57,12,0
213,77,56,2,0
80,36,37,27,0
164,13,27,41,0
12,70,44,17,1
104,70,54,17,0
101,9,52,6,0
13,77,41,2,0
69,191,38,9,0
37,77,58,2,0
91,28,51,1,1
37,191,58,9,0
49,102,50,16,1
37,147,58,11,0
62,28,70,1,1
44,169,17,7,1
169,197,7,12,1
115,76,85,126,0
197,44,12,17,1
25,191,43,5,1
20,180,27,34,1
142,147,28,2,1
9,31,8,29,1
80,153,31,11,1
27,144,148,161,0
180,196,34,10,1
136,31,16,29,1
153,102,11,4,1
218,68,168,97,1
147,28,2,3,1
169,196,7,10,1
31,102,29,4,1
196,28,10,3,1
65,115,111,86,1
13,170,37,19,0
101,51,52,90,0
61,129,26,50,0
144,27,161,148,0
61,226,26,21,0
27,87,148,61,0
65,51,111,90,0
88,206,115,31,0
125,190,102,74,0
53,191,71,6,0
67,80,127,34,0
76,138,124,149,0
94,196,42,3,0
120,13,151,37,0
122,147,116,5,0
170,77,19,4,0
212,121,79,84,0
167,156,67,77,0
17,95,126,105,1
95,225,113,109,1
95,156,113,80,1
95,225,113,109,1
42,25,43,44,0
127,112,94,78,0
65,102,116,2,0
115,165,70,24,0
152,78,74,26,0
162,216,65,36,0
156,181,80,55,0
65,69,119,48,0
112,94,47,45,1
156,180,65,27,1
167,180,60,27,1
88,181,117,53,0
120,115,156,72,0
2,77,113,4,0
14,101,150,51,1
19,155,121,10,0
42,9,46,9,0
102,51,2,67,0
112,180,47,27,1
187,121,73,61,0
36,78,28,26,1
108,201,90,85,0
108,211,90,97,0
180,164,27,33,0
180,164,27,33,0
2,76,109,93,0
130,155,78,10,0
138,77,121,4,0
207,197,48,7,0
20,191,22,5,0
180,49,27,63,0
129,133,52,137,0
104,153,36,12,1
180,136,27,15,0
104,9,36,10,1
180,55,27,14,0
134,226,146,21,0
147,70,6,19,0
27,6,145,106,0
117,126,135,82,0
53,80,67,28,0
65,155,119,8,1
53,155,67,8,0
12,44,58,17,0
92,104,98,36,0
130,122,86,127,0
147,165,8,19,0
95,202,116,92,0
202,217,92,82,1
146,17,142,133,1
76,77,98,5,0
122,155,127,6,0
136,42,9,38,1
178,69,135,46,0
212,102,81,3,0
198,61,113,28,0
89,18,155,117,0
133,181,99,51,0
117,227,137,41,0
201,61,67,26,0
27,143,147,84,0
10,191,144,3,0
14,169,148,10,1
65,212,115,82,0
67,69,136,40,0
80,170,23,17,0
121,102,60,2,0
138,31,112,13,0
197,207,12,37,0
101,28,46,1,0
65,121,116,61,1
58,52,161,175,0
37,42,67,49,0
69,55,38,14,0
37,207,67,30,0
66,61,96,23,0
134,73,138,68,0
203,206,81,25,0
37,207,67,30,0
138,2,114,101,0
178,170,134,15,0
49,60,72,62,1
65,187,116,84,0
91,207,57,30,1
219,25,124,62,0
42,161,42,100,0
197,102,14,2,0
150,207,108,25,1
197,77,14,5,0
12,78,58,27,0
136,161,7,100,1
162,60,73,76,1
126,36,72,40,0
161,44,100,23,1
103,52,95,175,0
127,98,102,96,0
39,52,156,131,0
104,28,36,1,0
120,165,152,10,0
10,55,130,7,0
14,186,150,43,1
65,121,123,49,0
69,170,37,9,0
93,101,55,47,0
94,197,40,14,0
20,77,29,4,0
68,188,137,167,1
20,55,29,7,0
67,170,126,8,0
121,212,49,80,0
178,80,142,30,0
104,161,41,81,0
10,20,142,19,0
19,54,130,35,0
130,147,66,5,0
169,70,7,20,0
178,67,133,128,0
129,3,49,51,0
217,153,95,35,0
39,103,129,81,0
151,159,170,150,0
9,28,7,1,0
130,19,86,96,0
186,169,33,15,0
187,51,73,45,0
73,36,65,43,0
133,184,99,68,0
73,36,65,43,0
136,187,13,75,0
62,85,104,163,0
112,54,82,18,0
32,73,101,67,0
129,73,52,67,0
61,78,23,29,0
227,73,59,67,0
85,136,145,12,1
91,28,49,1,1
73,118,67,87,1
10,142,113,38,1
32,226,101,25,1
32,3,105,44,1
184,226,51,23,1
190,61,29,22,0
143,78,68,19,1
73,206,45,31,1
226,206,23,31,1
219,60,112,57,0
94,187,53,70,1
130,170,89,5,0
94,170,53,5,1
12,104,54,30,0
130,94,89,53,0
162,25,67,56,0
156,60,97,57,1
165,77,20,3,0
104,196,30,12,1
112,60,86,54,0
12,196,52,12,0
167,60,85,54,0
156,112,101,86,0
198,112,140,86,0
112,69,86,56,0
61,142,22,26,1
20,70,28,7,0
53,76,78,79,0
89,82,165,142,0
11,58,173,159,0
194,103,130,58,0
14,207,141,31,0
65,94,134,52,0
93,13,74,43,0
147,77,11,2,0
190,28,19,1,0
219,216,116,35,0
39,52,138,92,0
18,103,121,51,0
89,194,156,135,0
151,85,173,111,0
126,226,112,15,0
39,52,138,92,0
39,52,138,92,0
57,18,140,121,0
82,90,125,155,0
167,170,81,3,0
78,61,17,25,0
208,116,132,92,0
211,108,86,104,0
77,70,2,5,0
93,102,82,7,0
126,190,113,20,0
197,54,21,10,0
211,6,86,85,0
21,159,176,133,0
69,207,59,30,0
125,227,143,69,0
171,206,173,22,0
216,161,32,62,0
37,49,65,87,0
116,112,92,70,0
153,203,43,109,0
169,70,16,5,1
192,156,144,106,1
207,51,30,27,1
146,156,146,106,1
197,147,21,13,1
170,77,3,2,1
184,34,53,151,0
169,191,16,6,1
51,165,27,18,1
207,55,30,11,1
146,192,146,144,1
18,103,112,47,0
161,10,62,124,0
70,54,5,10,1
128,185,167,98,1
54,77,10,2,1
128,202,168,61,1
115,121,77,65,1
107,198,157,142,0
159,219,121,125,0
106,98,152,139,0
196,55,7,10,0
19,213,92,67,1
62,91,76,49,0
67,186,137,38,0
156,193,83,95,0
115,196,69,9,0
187,55,57,10,0
35,220,182,110,1
114,96,156,131,1
163,202,170,50,1
67,191,137,7,0
164,77,55,2,0
116,156,92,83,0
185,202,89,50,0
96,220,131,110,1
169,213,18,70,0
62,219,76,118,0
87,73,86,46,0
159,52,106,51,0
156,143,82,83,0
180,226,42,16,0
198,193,130,85,0
163,192,165,137,1
156,150,82,136,0
156,150,82,136,0
116,16,96,132,0
138,102,119,6,0
22,129,151,81,0
66,181,100,64,0
69,197,71,35,0
134,126,146,89,0
