home_team, away_team, home_team_fifa_rank, away_team_fifa_rank, neutral_location
25,216,59,22,0
60,219,35,94,0
87,184,65,86,0
87,184,65,86,0
12,37,52,46,0
25,60,59,35,0
44,9,19,5,0
9,162,5,70,0
25,219,59,94,0
28,60,8,35,0
13,69,38,47,0
55,121,10,84,0
28,25,8,59,0
44,162,19,70,0
216,219,22,94,0
28,219,8,94,0
94,122,53,110,0
191,42,13,49,0
216,25,22,59,0
219,60,94,35,0
142,129,33,74,0
180,202,44,66,0
28,216,8,22,0
227,181,50,58,0
180,202,44,66,0
136,36,14,24,1
155,164,9,20,0
169,101,21,69,0
226,181,27,57,0
227,87,47,60,0
180,49,44,38,0
142,73,32,51,0
20,73,24,51,0
136,190,16,95,1
180,170,44,8,0
36,227,23,47,0
142,226,32,27,0
31,13,37,33,0
77,216,5,15,0
165,197,21,10,0
169,20,20,24,0
196,69,11,50,0
206,94,34,49,0
136,212,16,132,1
213,106,55,89,0
93,122,49,106,0
207,164,67,23,0
61,130,27,84,1
206,73,35,54,0
206,61,35,27,0
165,65,20,119,0
207,155,67,2,0
9,12,9,61,0
77,28,4,1,0
80,170,36,11,0
102,165,3,20,0
191,55,7,5,0
197,65,13,119,0
88,133,132,144,1
129,88,75,132,1
181,133,63,144,1
78,87,41,62,1
108,211,72,95,0
184,129,84,75,0
184,181,84,63,0
201,211,101,95,1
108,201,72,101,0
9,77,9,3,1
78,61,37,26,0
129,181,70,56,0
194,89,117,136,0
82,166,143,105,1
167,69,54,45,0
18,82,114,143,0
32,87,127,63,0
61,186,26,150,1
156,108,97,74,0
142,186,30,150,1
156,108,97,74,0
130,20,83,26,0
136,196,17,10,1
39,103,153,81,0
53,65,75,109,0
226,227,30,46,0
101,212,54,90,0
206,152,32,80,0
6,73,124,61,0
70,42,15,55,0
28,9,2,8,0
77,102,1,11,0
153,73,18,61,1
78,87,31,62,1
61,73,25,61,1
181,87,58,62,1
78,181,31,58,1
226,181,22,58,1
226,129,22,57,1
194,39,109,140,1
153,226,18,22,1
164,180,24,36,1
44,153,20,18,0
206,180,32,36,0
9,142,10,26,0
55,93,6,53,0
169,25,11,47,0
186,51,54,103,0
197,54,4,63,0
190,227,92,41,0
80,180,37,34,0
187,53,117,71,0
44,162,20,72,1
62,91,73,51,1
25,180,47,34,1
28,94,1,43,0
164,93,28,53,0
44,62,20,73,1
91,162,51,72,1
196,153,9,5,0
153,194,5,110,1
94,25,39,43,0
42,162,40,69,0
54,121,59,88,0
60,9,47,6,0
212,19,93,142,0
55,196,5,3,0
102,69,16,38,0
197,120,8,158,0
170,186,20,45,0
147,93,11,49,0
155,55,4,5,0
115,130,91,74,0
102,197,16,8,0
44,80,18,32,1
196,155,3,4,0
12,190,44,78,0
20,93,34,49,0
153,76,7,129,0
12,190,44,78,0
77,25,1,43,1
20,142,27,28,1
155,136,6,16,1
28,170,3,19,1
147,180,2,34,1
9,80,8,31,1
153,31,11,29,1
102,155,4,6,1
28,36,3,24,1
196,170,10,19,1
9,153,8,11,1
20,147,27,2,1
180,142,34,28,1
31,80,29,31,1
170,36,19,24,1
77,20,1,27,1
191,197,5,12,1
169,9,7,8,1
188,218,155,168,0
188,68,155,97,0
104,78,52,26,0
102,191,4,5,1
31,77,29,1,1
104,78,52,26,0
10,130,159,72,0
196,31,10,29,1
28,102,3,4,1
121,65,84,111,0
121,115,84,86,0
94,65,42,111,0
152,203,76,122,0
55,69,12,45,0
162,60,72,46,0
196,121,3,84,0
61,129,26,50,0
61,78,26,28,0
78,226,28,21,1
94,213,42,59,0
188,68,155,94,0
201,211,99,104,0
6,144,123,161,0
32,142,100,30,0
101,164,52,32,0
118,203,136,122,0
129,143,50,109,0
54,130,44,69,0
197,213,11,59,0
20,10,20,159,0
155,19,8,142,0
169,14,7,170,0
167,225,71,109,0
226,78,21,26,0
51,121,73,58,0
181,152,55,74,0
226,126,21,84,0
19,122,130,120,0
31,76,14,100,0
55,20,13,19,0
80,69,32,47,0
164,14,33,151,0
170,178,17,133,0
197,196,11,3,0
207,94,39,37,0
61,201,25,89,0
126,227,84,46,0
144,129,153,49,0
211,66,118,107,0
87,6,61,111,0
143,27,106,150,0
203,181,114,55,0
156,181,65,53,0
213,181,54,53,0
213,167,54,60,0
